Train No,Name,Type,Zone,Date From,Date To,From,Dep,To,Arr,Duration,Halts,SU,M,TU,W,TH,F,SA,Class,Distance,Speed,Return
14035,Dhauladhar Express,Exp,NR,,,DLI,22:45,PTK,08:20,9h 35m,17,,M,,W,,F,,SL 3A 2A 1A,496 km,51 km/hr,14036
14036,Dhauladhar Express,Exp,NR,,,PTK,23:20,DLI,10:25,11h 5m,18,,,T,,T,,S,SL 3A 2A 1A,496 km,44 km/hr,14035
14037,Delhi-Pathankot Expr...,Exp,NR,,,DLI,08:00,PTK,18:30,10h 30m,12,S,M,T,W,,F,S,2S CC,555 km,52 km/hr,14038
14038,Pathankot Delhi Expr...,Exp,NR,,,PTK,07:00,DLI,17:25,10h 25m,14,S,M,T,W,T,,S,2S CC,555 km,53 km/hr,14037
14041,Mussoorie Express,Exp,NR,,,DEE,21:30,DDN,08:20,10h 50m,17,S,M,T,W,T,F,S,SL 3A 2A 1A,339 km,31 km/hr,14042
14042,Mussoorie Express,Exp,NR,,,DDN,21:20,DEE,08:30,11h 10m,17,S,M,T,W,T,F,S,SL 3A 2A 1A,339 km,30 km/hr,14041
14043,Garhwal Express,Exp,NR,,,KTW,15:15,DLI,22:20,7h 5m,11,S,M,T,W,T,F,S,2S CC,238 km,33 km/hr,14044
14044,Garhwal Express,Exp,NR,,,DLI,07:20,KTW,14:15,6h 55m,11,S,M,T,W,T,F,S,2S CC,238 km,34 km/hr,14043
14055,Brahmaputra Mail,Exp,NR,,,DBRG,23:10,DLI,06:05,54h 55m,60,S,M,T,W,T,F,S,SL 3A 2A,2598 km,47 km/hr,14056
14056,Brahmaputra Mail (PT...,Exp,NR,,,DLI,23:40,DBRG,04:25,52h 45m,59,S,M,T,W,T,F,S,SL 3A 2A,2598 km,49 km/hr,14055
14085,Haryana Express (UnR...,Exp,NR,,,TKJ,18:00,SSA,00:40,6h 40m,18,S,M,T,W,T,F,S,,264 km,39 km/hr,14086
14086,Haryana Express (UnR...,Exp,NR,,,SSA,03:30,TKJ,09:58,6h 28m,18,S,M,T,W,T,F,S,,264 km,40 km/hr,14085
14095,Himalayan Queen,Exp,NR,,,DEE,05:35,KLK,11:10,5h 35m,12,S,M,T,W,T,F,S,2S CC,268 km,48 km/hr,14096
14096,Himalayan Queen,Exp,NR,,,KLK,16:50,DEE,22:40,5h 50m,13,S,M,T,W,T,F,S,2S CC,268 km,45 km/hr,14095
14109,Chitrakootdham - Kan...,Exp,NCR,,,CKTD,14:55,CNB,19:55,5h 0m,8,S,M,T,W,T,F,S,,213 km,42 km/hr,14110
14110,Kanpur - Chitrakootd...,Exp,NCR,,,CNB,10:00,CKTD,14:30,4h 30m,9,S,M,T,W,T,F,S,,213 km,47 km/hr,14109
14113,Link Express (Sangam...,Exp,NCR,,,ALD,17:45,DDN,13:10,19h 25m,35,S,M,T,W,T,F,S,SL 3A 2A 1A,865 km,44 km/hr,14114
14114,Sangam Link Express,Exp,NCR,,,DDN,13:20,ALD,08:15,18h 55m,29,S,M,T,W,T,F,S,SL 3A 2A 1A,865 km,45 km/hr,14163-Slip
14115,Allahabad - Haridwar...,Exp,NCR,,,ALD,23:25,HW,14:25,15h 0m,13,S,,T,,T,,,SL 2A,726 km,48 km/hr,14116
14116,Haridwar - Allahabad...,Exp,NCR,,,HW,16:25,ALD,07:45,15h 20m,13,,M,,W,,F,,SL 2A,726 km,47 km/hr,14115
14119,Kathgodam - Dehradun...,Exp,NCR,,,KGM,19:45,DDN,04:20,8h 35m,9,S,M,T,W,T,F,S,SL 3A 2A 1A,336 km,39 km/hr,14120
14120,Dehradun - Kathgodam...,Exp,NCR,,,DDN,23:00,KGM,07:10,8h 10m,9,S,M,T,W,T,F,S,SL 3A 2A 1A,336 km,41 km/hr,14119
14123,Pratapgarh - Kanpur ...,Exp,NCR,,,PBH,04:35,CNB,09:40,5h 5m,13,S,M,T,W,T,F,S,,245 km,48 km/hr,14124
14124,Kanpur - Pratapgarh ...,Exp,NCR,,,CNB,17:35,PBH,23:00,5h 25m,12,S,M,T,W,T,F,S,,245 km,45 km/hr,14123
14125,Saryu Express (UnRes...,Exp,NCR,,,ALD,18:15,MUR,01:05,6h 50m,13,S,M,T,W,T,F,S,,202 km,29 km/hr,14126
14126,Saryu Express (UnRes...,Exp,NCR,,,MUR,02:45,ALD,09:25,6h 40m,13,S,M,T,W,T,F,S,,202 km,30 km/hr,14125
14151,Kanpur - Anand Vihar...,Exp,NCR,,,CNB,07:50,ANVT,18:20,10h 30m,11,S,,,,,,,SL 3A 2A,479 km,45 km/hr,14152
14152,Anand Vihar - Kanpur...,Exp,NCR,,,ANVT,19:45,CNB,07:30,11h 45m,11,S,,,,,,,SL 3A 2A,479 km,40 km/hr,14151
14153,Kanpur - Amritsar We...,Exp,NCR,,,CNB,17:15,ASR,09:39,16h 24m,12,,M,,,,,,SL 3A 2A,899 km,54 km/hr,14154
14154,Amritsar - Kanpur We...,Exp,NCR,,,ASR,12:35,CNB,05:05,16h 30m,12,,,T,,,,,SL 3A 2A,899 km,54 km/hr,14153
14155,Kanpur - Udhampur Ex...,Exp,NCR,,,CNB,17:15,UHP,13:30,20h 15m,14,,,T,,,,S,SL 3A 2A,1072 km,52 km/hr,14156
14156,Udhampur - Kanpur Ex...,Exp,NCR,,,UHP,16:20,CNB,13:55,21h 35m,14,S,,,W,,,,SL 3A 2A,1072 km,49 km/hr,14155
14163,Sangam Express,Exp,NCR,,,ALD,17:45,MTC,06:40,12h 55m,26,S,M,T,W,T,F,S,SL 3A 2A,641 km,49 km/hr,14164
14164,Sangam Express,Exp,NCR,,,MTC,19:00,ALD,08:15,13h 15m,21,S,M,T,W,T,F,S,SL 3A 2A,641 km,48 km/hr,14163
14201,Jaunpur - Rae Bareli...,Exp,NR,,,JNU,16:00,RBL,21:40,5h 40m,9,S,M,T,W,T,F,S,,202 km,35 km/hr,14202
14202,Rai Bareli - Jaunpur...,Exp,NR,,,RBL,06:45,JNU,12:05,5h 20m,9,S,M,T,W,T,F,S,,202 km,37 km/hr,14201
14203,Varanasi - Lucknow I...,Exp,NR,,,BSB,16:20,LKO,22:05,5h 45m,12,S,M,T,W,T,F,S,CC,301 km,52 km/hr,14204
14204,Lucknow - Varanasi I...,Exp,NR,,,LKO,07:00,BSB,13:30,6h 30m,12,S,M,T,W,T,F,S,CC,301 km,46 km/hr,14203
14205,Faizabad - Delhi Exp...,Exp,NR,,,FD,21:45,DLI,09:50,12h 5m,9,S,M,T,W,T,F,S,SL 3A 2A 1A,614 km,50 km/hr,14206
14206,Delhi - Faizabad Exp...,Exp,NR,,,DLI,18:30,FD,07:20,12h 50m,9,S,M,T,W,T,F,S,SL 3A 2A 1A,614 km,47 km/hr,14205
